analysis_id,analysis_status,dimension,stratum_id,row_count,source_cluster_count,target,record_type,record_id,metric,estimate,lower,upper,numerator,denominator,status,unit
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q1,1026,294,base,cell,R0,wer,59.680992467877715,54.676309461156805,64.55317187079879,1347,2257,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q1,1026,294,base,cell,R0,context_copy_rate,,,,,,structurally_undefined_no_history,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q1,1026,294,base,cell,R0,prior_only_token_rate,,,,,,structurally_undefined_no_history,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q1,1026,294,base,cell,R1,wer,71.7766947275144,63.84717868708703,79.94172609030517,1620,2257,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q1,1026,294,base,cell,R1,context_copy_rate,4.399524375743163,2.4315002803434944,6.736534825086669,37,841,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q1,1026,294,base,cell,R1,prior_only_token_rate,20.474406991260924,15.405689820037368,25.898927016904544,328,1602,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q1,1026,294,base,cell,R8,wer,69.7828976517501,61.175011705585646,79.30268429043419,1575,2257,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q1,1026,294,base,cell,R8,context_copy_rate,2.5330396475770924,0.6841365940350628,5.346871219249898,23,908,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q1,1026,294,base,cell,R8,prior_only_token_rate,19.974473516273132,14.64872654660538,25.877301239700095,313,1567,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q1,1026,294,base,effect,R8_minus_R1,wer,-1.9937970757642915,-7.299041731308667,3.623537398188822,,,descriptive_percentile_interval,percentage_points
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q1,1026,294,base,effect,R8_minus_R1,context_copy_rate,-1.8664847281660708,-3.726354902714174,0.16389045900488414,,,descriptive_percentile_interval,percentage_points
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q1,1026,294,base,effect,R8_minus_R1,prior_only_token_rate,-0.4999334749877917,-4.558397418025559,3.6807078598675456,,,descriptive_percentile_interval,percentage_points
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q1,1026,294,no_context_sft,cell,R0,wer,39.43287549844927,34.96522325599005,43.853188641017425,890,2257,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q1,1026,294,no_context_sft,cell,R0,context_copy_rate,,,,,,structurally_undefined_no_history,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q1,1026,294,no_context_sft,cell,R0,prior_only_token_rate,,,,,,structurally_undefined_no_history,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q1,1026,294,no_context_sft,cell,R1,wer,41.07221976074435,35.30414457982434,47.23684831444545,927,2257,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q1,1026,294,no_context_sft,cell,R1,context_copy_rate,1.4115092290988056,0.4296110419824416,2.613065326633166,13,921,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q1,1026,294,no_context_sft,cell,R1,prior_only_token_rate,7.549430796884362,4.063173136099877,11.713292564196179,126,1669,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q1,1026,294,no_context_sft,cell,R8,wer,36.73017279574657,32.19392734764057,41.606026337187025,829,2257,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q1,1026,294,no_context_sft,cell,R8,context_copy_rate,0.3257328990228013,0.0,0.8772143774069316,3,921,descriptive_percentile_interval,percent
predicted_history_postoutcome_breakdown_v1,post_outcome_exploratory_descriptive,duration_seconds,q1,1026,294,no_context_sft,cell,R8,prior_only_token_rate,6.79431747992588,4.625396986970684,9.12390129268631,110,1619,descriptive_percentile_interval,percent
