feedId,descr,trim_audio
37,Four Corners Area Fire and EMS,False
60,"Colorado State Patrol - El Paso, Teller, and Pueblo Counties",False
61,Weld County Sheriff,False
119,"Bureau County Sheriff, Fire and EMS",False
121,"Illinois State Police, IDOT, EMA and LaSalle County Sheriff",False
123,Sangamon County Public Safety,False
139,Twin State Fire Mutual Aid,False
141,Coos and Grafton Counties Police and Fire,True
149,Yadkin County Fire and EMS,False
171,"Findlay Fire, Hancock County Sheriff, Fire and EMS, Ohio State Highway Patrol
",False
188,Allen County Public Safety,False
215,Memphis Police and Shelby County Sheriff,False
217,Germantown Police and Fire,True
222,West Metro Fire Rescue,False
236,Beaver County Fire and EMS,True
290,Mobile County/City and Area Fire,False
318,Oklahoma City Area Police and Fire,False
329,Boone County Fire and EMS,False
384,Whitley County Fire Dispatch,False
463,Allegheny County Fire - North,False
500,Baker County Sheriff and Fire,False
511,"Chicago Suburban Fire Departments, MABAS and IFERN",False
519,Essex and Southern Rockingham Counties Fire / EMS,False
527,Fredericksburg City and Spotsylvania County Fire and EMS,False
549,New Orleans Fire,False
590,"Susquehanna, Wayne, Lackawanna, and Wyoming Counties Fire / EMS",False
592,Spotsylvania County Fire and Rescue,True
648,Brazos County Area Fire and EMS,False
650,"Calhoun County Sheriff, Fire, and EMS",True
665,"Spencer County Sheriff, Fire, and EMS",False
683,"Kalamazoo City, Township and County Fire Dispatch",False
690,Erie County Fire and EMS,False
747,"Santa Barbara County Sheriff, Fire, Aircraft and Marine, Lompoc Police / Fire",False
802,Jersey City Fire,False
807,Crawford County Sheriff and Fire,False
829,"Los Angeles County Sheriff, Fire and Aircraft - Santa Clarita Valley",False
856,Fall River Police and Fire,True
865,Napa County Fire and CAL FIRE LNU East,True
909,Chicago Fire - Digital,False
938,"Carroll, Chariton, Linn, Livingston Counties Public Safety ",False
946,Mulvane Fire and EMS,True
1102,Washington County Fire and EMS,False
1113,Blount County Public Safety,True
1137,Grundy County Consolidated Dispatch Center,False
1162,Huntington City and County Police and Fire,False
1176,"Southern Tablelands RFS, PMR, GRN, and FRNSW South/West Dispatch",True
1189,NYPD Bronx/Manhattan Transit,False
1205,Wichita Falls Area Law Enforcement ,False
1331,"Elk County Police, Fire and EMS",False
1364,Harris County Law Enforcement - North,False
1432,Perth Fire and Rescue Service - Command,False
1433,West Mahoning County Fire Departments,False
1440,Albany City Fire,False
1444,Suffolk County Police Departments,False
1452,"Lebanon County EMS, Fire Police and Hazmat",False
1456,Lebanon County Fire ,False
1461,"Grundy and Livingston Counties Law, Fire and EMS Dispatch",False
1467,Harrison County Fire and EMS,False
1524,"Meeker County Sheriff, Police, Fire, and EMS",True
1532,"Wellesley Police and Fire, AreaWide3, Metro Fire",False
1541,Loudoun County Combined Fire Rescue,False
1549,Boylston Area Police and Fire,False
1554,Portage County Law and Fire,False
1558,Livingston Fire and EMS,False
1594,Des Moines Fire/EMS,False
1605,Metropolitan Washington Airports Authority (MWAA) Public Safety,False
1620,Fairfax County Fire and Rescue,False
1633,Nassau County Police,False
1634,Suffolk County Fire - West,False
1635,Nassau County Fire - East,False
1651,"Washington County, Maplewood and North Saint Paul Public Safety",False
1654,Kent County Fire Dispatch,False
1661,LaCrosse County Fire and EMS,False
1692,Ross County Public Safety,False
1709,Volusia County Fire and EMS,False
1719,"Grenada Police, Fire, EMS and Weather Alerts",False
1775,Amherst Fire Control,False
1790,"Ritchie and Doddridge Counties Police, Fire, and EMS",False
1813,"Newington Police, Fire and EMS",False
1836,"Totowa Police, Fire and EMS",False
1858,"Cameron County Police, Fire and EMS",False
1883,Solano County Fire 1,False
1897,Orange and San Diego Counties Working Incident 1,False
1929,"Butte County Fire / CalFire, Chico Fire",False
1932,"South Bay Fire: Culver City, El Segundo, Manhattan Beach, Redondo Beach, Torrance",False
1996,Cache County Public Safety,True
2022,Rockland Fire,False
2052,Monroe Township Fire Operations,False
2068,Allegany County Fire,False
2120,Eastern Missouri Public Safety,False
2142,Westport Fire,False
2202,BEU CAL FIRE and San Benito County Public Safety,False
2206,Liberty and Calhoun Counties Fire and EMS,False
2221,"Dover, Medfield and Millis Fire",False
2236,Clark County Public Safety - CRESA Digital,False
2317,Kittitas County Public Safety,False
2341,Concord Fire Alarm - Capital Area,False
2364,"Spencer Area Police, Fire and EMS",False
2411,Weakley County Public Safety,False
2421,East Hartford Police,True
2504,"Blair County EMS, Fire, Police, Hazmat and Helos",False
2506,Lorain County Public Safety - North,False
2530,Sherbrooke Fire,False
2546,"Laurel County and City Fire, Rescue, Police, and EMS Dispatch ",False
2588,Louisa County Fire and EMS,False
2653,South Australian Emergency Services ,True
2681,Dallas City Fire and Rescue Dispatch,False
2718,"UCM Police, Warrensburg Fire, and EMS",False
2757,West Central IL and North East Mo Counties Public Safety,True
2762,"Knox County Police, Fire and EMS",False
2771,Saraland Fire and Rescue Dispatch,False
2823,Rockland County Fire Dispatch - 44-Control,True
2825,Lee County Fire and EMS,False
2846,Los Angeles City Fire,False
2859,Concord Fire,False
2897,"Powell Police, Fire and EMS",False
2915,South Windsor Fire and EMS,False
2932,"Lorain County Police, Fire and EMS",False
2945,"Medina County Sheriff and Fire, Medina / Montville Township Police, Life Support Team (EMS)",False
2978,Woodbury Fire Dispatch,False
2982,"Linn County Police, Fire, and EMS",False
2994,Decatur and Morgan County Public Safety,False
2996,Jefferson County Police Dispatch,False
3050,"Darlington County Fire, EMS, and State Forestry",False
3053,McLeod County Public Safety,False
3063,Township Of Moon Police,False
3140,Toronto Fire Services Automated Dispatch - South Zone,False
3157,"Mason County Fire, Sheriff, and EMS, Ludington Fire, Police, and EMS",False
3285,Hardin County Fire and EMS,False
3289,"Walworth County Sheriff and EMS, Racine County Fire / EMS - West of I-94",True
3292,McKinney Fire and EMS,False
3316,"Washington, Saratoga and Warren Counties Sheriff",False
3331,"Jackson, Mason, and Meigs Counties Fire and EMS",False
3415,Powhatan County Fire & Rescue,True
3437,Woodbine and Dennis Township Fire and Rescue,False
3503,"Allegan County Police, Fire and EMS - Conventional / Digital",False
3554,Lake County Quad 1 Fire Departments,False
3569,"LaSalle, Marshall, Bureau and Putnam Counties Fire and EMS Departments",False
3609,"Ennis Police and Fire, Ellis County Sheriff",False
3619,"Wadsworth Police, Fire and EMS",False
3626,"Albany City and Colonie, Police, Fire and EMS",False
3671,"St. Joseph County Sheriff, Police, Fire and EMS",False
