population,population_row_count,condition,prior_turn_cap,figure_role,target,target_label,wer,wer_lower,wer_upper,context_copy_rate,context_copy_rate_lower,context_copy_rate_upper
main_p13_primary_4098,4098,P0,0,exact_p13_curve_origin,base,Untuned base model,32.55813953488372,29.798100581165013,35.353408814820185,0.0,0.0,0.0
main_p13_primary_4098,4098,R0,0,detached_option_d_prompt_control,base,Untuned base model,32.53702987017556,29.81676075013093,35.320808861492566,0.0,0.0,0.0
main_p13_primary_4098,4098,R1,1,exact_p13_curve,base,Untuned base model,33.42715406536959,30.29179199125621,36.59918688604602,3.7014377485469563,2.6501414196843895,5.051797218259144
main_p13_primary_4098,4098,R2,2,exact_p13_curve,base,Untuned base model,33.51159272420223,30.20710170393387,36.90187103018792,4.091174751607247,2.9284114204967295,5.49486696261509
main_p13_primary_4098,4098,R4,4,exact_p13_curve,base,Untuned base model,32.484255708405165,29.397896079259368,35.70226103671198,4.189700320046552,3.0877993428220805,5.534105534105534
main_p13_primary_4098,4098,R8,8,exact_p13_curve,base,Untuned base model,32.13594624072054,29.039941895352932,35.31952622147008,4.39081128234952,3.1045061504303524,6.068682187347667
main_p13_primary_4098,4098,P0,0,exact_p13_curve_origin,no_context_sft,History-free SFT,23.84688456531682,22.022819487178364,25.772144662210984,0.0,0.0,0.0
main_p13_primary_4098,4098,R0,0,detached_option_d_prompt_control,no_context_sft,History-free SFT,23.783555571192345,21.923416476573667,25.705566882828084,0.0,0.0,0.0
main_p13_primary_4098,4098,R1,1,exact_p13_curve,no_context_sft,History-free SFT,23.340252612321006,21.45611423824197,25.318515242751484,1.8672795173800631,1.2456905908547435,2.6010174400705384
main_p13_primary_4098,4098,R2,2,exact_p13_curve,no_context_sft,History-free SFT,22.886394821095593,21.091347705138674,24.779712631555448,2.3269175524274632,1.5995342498768026,3.2006302383211636
main_p13_primary_4098,4098,R4,4,exact_p13_curve,no_context_sft,History-free SFT,22.302360764169862,20.489574797809748,24.208779847301464,2.757828210284401,1.9306126662422793,3.7450181616385834
main_p13_primary_4098,4098,R8,8,exact_p13_curve,no_context_sft,History-free SFT,21.9927523484502,20.11361819975019,23.943912370153253,2.9589198506176384,2.092178232849204,4.03377263278163
main_p13_primary_4098,4098,P0,0,exact_p13_curve_origin,prior_context_sft,Prior-transcript SFT,23.776519016289626,22.059065785761295,25.58417877315246,0.0,0.0,0.0
main_p13_primary_4098,4098,R0,0,detached_option_d_prompt_control,prior_context_sft,Prior-transcript SFT,23.994652218273934,22.18440397875505,25.90317155655655,0.0,0.0,0.0
main_p13_primary_4098,4098,R1,1,exact_p13_curve,prior_context_sft,Prior-transcript SFT,22.998979699539106,21.174299513084396,24.90328154750547,1.9641825534373194,1.314157806978535,2.7471151399949116
main_p13_primary_4098,4098,R2,2,exact_p13_curve,prior_context_sft,Prior-transcript SFT,22.576786405375927,20.759696363587608,24.449210755469238,2.7586206896551726,1.9926886166950333,3.663209092975214
main_p13_primary_4098,4098,R4,4,exact_p13_curve,prior_context_sft,Prior-transcript SFT,22.14403827885867,20.28674335574617,24.034916964965866,3.9367816091954024,2.9402503308256382,5.1041646660044
main_p13_primary_4098,4098,R8,8,exact_p13_curve,prior_context_sft,Prior-transcript SFT,22.01386201315836,20.10679926377111,23.986891346637755,4.396551724137931,3.345201808953163,5.654682489991199
